<html><head><title>MySQL Plugin log</title><style>table {border: 1px solid black; border-collapse: collapse; line-height: 23px; table-layout: fixed; width: 863px;}th, td {border: 1px solid black; word-wrap: break-word;}thead {background-color: #C0C0C0;}		tbody {text-align: center;}		table.left1 {position: relative; left: 36px;}		table.left2 {position: relative; left: 72px;}		.time {width: 80px;}		.func {width: 200px;}		.stat {width: 75px;}		.msg {width: 400px;}	</style>	<script>		var 			LOG_ERROR = 1,			LOG_WARNING = 2,			LOG_DEBUG = 4;				var			FirstRun = true,			IsCallbackActive = false,			IsTableOpen = false,			IsThreadActive = false;				function StartCB(cbname) {			StartTable(1, 0, cbname);		}		function EndCB() {			EndTable();			IsCallbackActive = false;		}		function StartTable(iscallback, isthreaded, cbname) {			if(IsTableOpen == true || isthreaded != IsThreadActive)				EndTable();						if(iscallback == true) {				document.write(					"<table class=left2>" +						"<th bgcolor=#C0C0C0 >In callback \""+cbname+"\"</th>" +					"</table>"				);			}						document.write("<table");			if(iscallback == true || (isthreaded != IsThreadActive && isthreaded == false && IsCallbackActive == true) ) {				document.write(" class=left2");				IsCallbackActive = true;			}			else if(isthreaded == true) 				document.write(" class=left1");						IsThreadActive = isthreaded;			document.write(">");						if(FirstRun == true) {				FirstRun = false;				document.write("<thead><th class=time>Time</th><th class=func>Function</th><th class=stat>Status</th><th class=msg>Message</th></thead>");			}			document.write("<tbody>");			IsTableOpen = true;		}				function EndTable() {			document.write("</tbody></table>");			IsTableOpen = false;		}						function Log(time, func, status, msg, isthreaded) {			isthreaded = typeof isthreaded !== 'undefined' ? isthreaded : 0;			if(IsTableOpen == false || isthreaded != IsThreadActive)				StartTable(false, isthreaded, "");			var StatColor, StatText;			switch(status) {			case LOG_ERROR:				StatColor = "RED";				StatText = "ERROR";				break;			case LOG_WARNING:				StatColor = "#FF9900";				StatText = "WARNING";				break;			case LOG_DEBUG:				StatColor = "#00DD00";				StatText = "OK";				break;			}			document.write(				"<tr bgcolor="+StatColor+">" + 					"<td class=time>"+time+"</td>" + 					"<td class=func>"+func+"</td>" + 					"<td class=stat>"+StatText+"</td>" + 					"<td class=msg>"+msg+"</td>" + 				"</tr>"			);		}	</script></head><body bgcolor=grey>	<h2>Logging started at 20:20, 17.05.2017</h2><script>
StartCB("LoadVehicles");Log("20:20:21","CMySQLQuery::Execute[LoadAtms]",1,"(error #1146) Table 'droomrpg.atms' doesn't exist",1);
Log("21:20:15","cache_get_row_count",2,"no active cache",0);
Log("21:20:15","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:20:15","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:21:31","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("21:21:31","cache_get_row_count",2,"no active cache",0);
Log("21:21:31","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:31:43","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("21:31:43","cache_get_row_count",2,"no active cache",0);
Log("21:31:43","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:37:56","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("21:37:56","cache_get_row_count",2,"no active cache",0);
Log("21:37:56","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("21:37:56","cache_get_row_count",2,"no active cache",0);
Log("21:37:56","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:37:56","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:41:55","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("21:41:55","cache_get_row_count",2,"no active cache",0);
Log("21:41:55","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:45:59","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("21:45:59","cache_get_row_count",2,"no active cache",0);
Log("21:45:59","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("21:45:59","cache_get_row_count",2,"no active cache",0);
Log("21:45:59","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:45:59","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:52:08","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("21:52:08","cache_get_row_count",2,"no active cache",0);
Log("21:52:08","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("21:52:08","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("21:52:08","cache_get_row_count",2,"no active cache",0);
Log("21:52:08","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:02:09","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:02:09","cache_get_row_count",2,"no active cache",0);
Log("22:02:09","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:02:09","cache_get_row_count",2,"no active cache",0);
Log("22:02:09","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:02:09","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:02:20","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("22:02:20","cache_get_row_count",2,"no active cache",0);
Log("22:02:20","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:02:20","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("22:02:20","cache_get_row_count",2,"no active cache",0);
Log("22:02:20","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:07:37","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:07:37","cache_get_row_count",2,"no active cache",0);
Log("22:07:37","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:07:37","cache_get_row_count",2,"no active cache",0);
Log("22:07:37","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:07:37","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:12:32","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("22:12:32","cache_get_row_count",2,"no active cache",0);
Log("22:12:32","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:13:25","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:13:25","cache_get_row_count",2,"no active cache",0);
Log("22:13:25","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:13:25","cache_get_row_count",2,"no active cache",0);
Log("22:13:25","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:13:25","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:13:30","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:13:30","cache_get_row_count",2,"no active cache",0);
Log("22:13:30","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:33:14","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:33:14","cache_get_row_count",2,"no active cache",0);
Log("22:33:14","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:33:14","cache_get_row_count",2,"no active cache",0);
Log("22:33:14","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:33:14","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:33:20","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:33:20","cache_get_row_count",2,"no active cache",0);
Log("22:33:20","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:33:35","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:33:35","cache_get_row_count",2,"no active cache",0);
Log("22:33:35","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:39:15","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:39:15","cache_get_row_count",2,"no active cache",0);
Log("22:39:15","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:39:15","cache_get_row_count",2,"no active cache",0);
Log("22:39:15","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:39:15","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:42:36","CMySQLResult::GetRowDataByName()",1,"invalid row index ('0')",0);
Log("22:42:36","cache_get_field_content_int",1,"invalid datatype",0);
Log("22:43:07","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("22:43:07","cache_get_row_count",2,"no active cache",0);
Log("22:43:07","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:45:54","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:45:54","cache_get_row_count",2,"no active cache",0);
Log("22:45:54","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("22:45:54","cache_get_row_count",2,"no active cache",0);
Log("22:45:54","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("22:45:54","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("08:35:18","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("08:35:18","cache_get_row_count",2,"no active cache",0);
Log("08:35:18","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("08:35:18","cache_get_row_count",2,"no active cache",0);
Log("08:35:18","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("08:35:18","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("08:35:23","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("08:35:23","cache_get_row_count",2,"no active cache",0);
Log("08:35:23","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("08:38:45","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("08:38:45","cache_get_row_count",2,"no active cache",0);
Log("08:38:45","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("08:38:45","cache_get_row_count",2,"no active cache",0);
Log("08:38:45","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("08:38:45","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:28:34","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:28:34","cache_get_row_count",2,"no active cache",0);
Log("11:28:34","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:28:34","cache_get_row_count",2,"no active cache",0);
Log("11:28:34","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:28:34","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:28:39","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:28:39","cache_get_row_count",2,"no active cache",0);
Log("11:28:39","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:28:49","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:28:49","cache_get_row_count",2,"no active cache",0);
Log("11:28:49","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:31:41","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:31:41","cache_get_row_count",2,"no active cache",0);
Log("11:31:41","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:31:41","cache_get_row_count",2,"no active cache",0);
Log("11:31:41","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:31:41","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:31:48","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:31:48","cache_get_row_count",2,"no active cache",0);
Log("11:31:48","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:32:04","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:32:04","cache_get_row_count",2,"no active cache",0);
Log("11:32:04","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:32:15","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:32:15","cache_get_row_count",2,"no active cache",0);
Log("11:32:15","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:32:15","cache_get_row_count",2,"no active cache",0);
Log("11:32:15","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:32:15","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:32:20","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:32:20","cache_get_row_count",2,"no active cache",0);
Log("11:32:20","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:32:37","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:32:37","cache_get_row_count",2,"no active cache",0);
Log("11:32:37","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:34:50","CMySQLQuery::Execute[]",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",1);
Log("11:35:16","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:35:16","cache_get_row_count",2,"no active cache",0);
Log("11:35:16","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:35:24","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:35:24","cache_get_row_count",2,"no active cache",0);
Log("11:35:24","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:35:24","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:35:24","cache_get_row_count",2,"no active cache",0);
Log("11:35:24","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:35:24","cache_get_row_count",2,"no active cache",0);
Log("11:35:24","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:35:24","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:35:33","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:35:33","cache_get_row_count",2,"no active cache",0);
Log("11:35:33","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:35:35","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:35:35","cache_get_row_count",2,"no active cache",0);
Log("11:35:35","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:36:45","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("11:36:45","cache_get_row_count",2,"no active cache",0);
Log("11:36:45","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:36:45","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("11:36:45","cache_get_row_count",2,"no active cache",0);
Log("11:36:45","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:36:45","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("11:36:45","cache_get_row_count",2,"no active cache",0);
Log("11:36:45","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:42:25","CMySQLResult::GetRowDataByName",2,"field not found (\"id\")",0);
Log("11:42:25","cache_get_field_content_int",1,"invalid datatype",0);
Log("11:46:59","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("11:46:59","cache_get_row_count",2,"no active cache",0);
Log("11:46:59","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:46:59","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("11:46:59","cache_get_row_count",2,"no active cache",0);
Log("11:46:59","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:46:59","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.kill_logs' doesn't exist",0);
Log("11:46:59","cache_get_row_count",2,"no active cache",0);
Log("11:46:59","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:49:09","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:49:09","cache_get_row_count",2,"no active cache",0);
Log("11:49:09","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:49:09","cache_get_row_count",2,"no active cache",0);
Log("11:49:09","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:49:09","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:49:14","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:49:14","cache_get_row_count",2,"no active cache",0);
Log("11:49:14","CMySQLHandle::DeleteSavedResult",2,"invalid result id ('0')",0);
Log("11:49:14","CMySQLQuery::Execute",1,"(error #1146) Table 'droomrpg.bans' doesn't exist",0);
Log("11:49:14","cache_get_row_count",2,"no active cache",0);
